helping,title,eventtitle,identifier,arg.type,arg.day,arg.month,arg.calendar,arg.status,arg.statusCount,arg.secDayCount,arg.startYear,arg.stopYear,tag,add.category.COMMA,add.rank,add.locale.COMMA,add.freelocale.COMMA,add.freespecial..COMMA,add.alias,add.remark,arg.timer.useTimeZoneOfFrontend,arg.timer.timeZoneOfEvent,arg.timer.ultimateBeginningTimer,arg.timer.ultimateEndingTimer,arg.timer.startTimeSeconds,arg.timer.startDateTime,arg.timer.durationMinutes,arg.timer.durationNatural,arg.timer.activeWeekday,arg.timer.nthWeekdayInMonth,arg.timer.activeMonth,arg.timer.periodLength,arg.timer.periodUnit,arg.timer.namedDateMidnight,arg.timer.relMinToSelectedTimerEvent,arg.timer.calendarUse,arg.timer.moonPhase,arg.timer.moonStatus,arg.timer.latitude,arg.timer.longitude,arg.timer.yamlPeriodFilePath,arg.timer.recursiveLoopLimit,arg.timer.yamlActiveFilePath,arg.timer.yamlForbiddenFilePath,arg.timer.sunPosition,arg.timer.nthWeekdayInMonth,ignored
,Ostermontag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.eastermonday,greg-easterMonday,easterly,,,gregorian,,1,,,,religion,christian,5,"de_DE,fr_FR,en_GB,en_IE,ga_IE,de_LI,hr_HR,en_NZ","de_DE,fr_FR,en_GB,en_IE,ga_IE,de_LI,hr_HR,en_NZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Frauentag (Mosambik),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.mzWomenDay,greg-mzWomenDay,fixed,7,4,gregorian,,,,,,culture,,5,pt_MZ,pt_MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Juan Santamaría Day,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.crJuanSantaMaria,greg-crJuanSantaMaria,fixedshifting,11,4,gregorian,,"0,-1,-2,4,3,0,0",,,,culture,,5,es_CR,es_CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Welttag der Dummheit,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.hist.greg.stupidity,greg-stupidityDay,fixed,16,4,gregorian,,,,,,culture,philosophy,1,de_DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anzac Day (Neuseeland),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.nzAnzacDay,greg-nzAnzacDay,fixedshifting,25,4,gregorian,,"0,0,0,0,0,2,1",,,,culture,,5,en_NZ,en_NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tag der Showa-Ära ,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.jpDayOfShowa,greg-jpDayOfShowa,fixedshifting,29,4,gregorian,,"0,0,0,0,0,0,1",,,,political,,4,ja_JP,ja_JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Walpurgisnacht,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.hist.greg.walpurgis,greg-walpurgis,fixed,30,4,gregorian,,,,,,culture,,3,de_DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tag der Arbeit (+),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.hist.greg.labourday,greg-csLabourDay,fixedshifting,1,5,gregorian,,"0,0,-2,4,0,2,0",,,,political,"communist, laborunion",5,es_CR,es_CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Einberufung des lettischen Verfassungsausschusses, Tag der Arbeit",LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.hist.greg.lvDayOfGroundlaw,greg-lvDayOfGroundlaw,fixed,1,5,gregorian,,,,,,historical,,4,lv_LV,lv_LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tag der Arbeit,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.hist.greg.labourday,greg-labourDay,fixed,1,5,gregorian,,,,,,political,"communist, laborunion",5,"de_DE,fr_FR,kea_CV,pt_CV,hr_HR,fr_MC,es_MX,en_MU,pt_MZ","de_DE,fr_FR,kea_CV,pt_CV,hr_HR,fr_MC,es_MX,en_MU,pt_MZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tag der Verfassung (Japan),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.jpDayOfGroundLaw,greg-jpDayOfGroundLaw,fixedshifting,3,5,gregorian,,"0,0,0,0,0,0,1",,,,political,,4,ja_JP,ja_JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Erneuerung der UnabhängigkeitEinberufung des lettischen Verfassungsausschusses, Tag der Arbeit",LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.hist.greg.lvDayOfNewIndependence,greg-lvDayOfNewIndependence,fixed,4,5,gregorian,,,,,,historical,,4,lv_LV,lv_LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Tag des Grüns,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.jpDayOfGreenings,greg-jpDayOfGreenings,fixedshifting,4,5,gregorian,,"0,0,0,0,0,0,1",,,,political,,5,ja_JP,ja_JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tag der Kinder (Japan),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.jpDayOfChildren,greg-jpDayOfChildren,fixedshifting,5,5,gregorian,,"0,0,0,0,0,0,1",,,,political,,6,ja_JP,ja_JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Früher Mai-Bankfeiertag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.hist.greg.earlyMayBankHoliday,greg-earlymaybankholiday,weekdayly,,5,gregorian,1,1,,,,culture,,5,"en_GB,en_IE,ga_IE","en_GB,en_IE,ga_IE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,à l'occasion de la fête de la libération alliée,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.hist.greg.freeByAllierts,greg-freeByAllierts,fixed,8,5,gregorian,,,,,,historical,,4,fr_FR,fr_FR,,,Tag der Befreiung durch die Alliierten,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Muttertag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.hist.greg.mothersday,greg-mothersDay,weekdayly,,5,gregorian,7,2,,,,culture,"political, gender",2,de_DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
